MovieID	IDSubtitleFile	MovieName	MovieYear	SeriesSeason	SubHearingImpaired
1	20098	Alien3	1992	0	0
2	160258	Identity	2003	0	0
4	1951683618	Planet of the Apes	2001	0	1
5	6	The City of Lost Children	1995	0	0
6	49346	Antitrust	2001	0	0
8	63073	Bringing Down the House	2003	0	1
9	64084	Cradle 2 the Grave	2003	0	0
10	34595	Death to Smoochy	2002	0	0
11	1955028207	Hellboy	2004	0	0
12	1955850886	American Gun	2002	0	1
15	1263	Femme Fatale	2002	0	0
21	31349	Resident Evil	2002	0	0
23	31	Ghost Ship	2002	0	0
25	39957	It	1990	0	0
26	36	I Spy	2002	0	0
28	399	Solaris	2002	0	0
29	30198	The Time Machine	2002	0	1
31	113865	The Lord of the Rings: The Return of the King	2003	0	0
32	96038	Bad Santa	2003	0	0
33	107485	White Chicks	2004	0	0
34	1951648333	Shrek	2001	0	0
35	1951860731	Cruel Intentions 2	2000	0	0
36	281	Finding Nemo	2003	0	0
37	32552	Ice Age	2002	0	0
38	249073	Leon: The Professional	1994	0	0
39	193136	The Boondock Saints	1999	0	0
40	85205	21 Grams	2003	0	1
42	1951845577	Wrong Turn	2003	0	1
43	42362	Signs	2002	0	0
44	90654	Monster	2003	0	0
45	86073	Stuck on You	2003	0	0
46	175071	Equilibrium	2002	0	0
47	107495	I, Robot	2004	0	0
48	26437	Not Another Teen Movie	2001	0	0
49	952	Shaun of the Dead	2004	0	0
50	105006	The Football Factory	2004	0	0
51	1953042568	Coyote Ugly	2000	0	1
57	617	Kung Fu Hustle	2004	0	0
60	1814	Pulp Fiction	1994	0	0
61	298943	Cabin Fever	2002	0	0
64	892	Donnie Darko	2001	0	0
65	1951839617	The Transporter	2002	0	0
66	1956889412	American Beauty	1999	0	0
67	89	Reservoir Dogs	1992	0	0
71	1951720654	Resident Evil: Apocalypse	2004	0	0
72	99	Crumb	1994	0	0
74	114737	Saw	2004	0	0
75	581	Shark Tale	2004	0	0
76	116148	The Grudge	2004	0	0
77	146138	Shanghai Noon	2000	0	1
79	2264	Team America: World Police	2004	0	0
81	122585	The Big Bounce	2004	0	0
82	100383	Johnson Family Vacation	2004	0	0
84	1954283078	Seeing Other People	2004	0	0
85	105743	Troy	2004	0	1
86	499	The Village	2004	0	0
87	790	Exorcist: The Beginning	2004	0	0
90	65864	Anger Management	2003	0	0
91	2932	The Age of Innocence	1993	0	0
94	1359	The Hunt for Red October	1990	0	0
96	1952651444	Spider-Man 2	2004	0	0
99	25292	Point of No Return	1993	0	0
101	145936	Godzilla	1998	0	0
102	148	Willard	2003	0	0
103	118221	Mr. 3000	2004	0	1
104	1952271021	Smallville	2001	0	0
