,frequency
-->,33883
the,7777
you,5342
i,4820
to,4557
a,3852
-,2941
of,2932
and,2291
is,2235
we,1788
in,1767
it,1633
that,1585
your,1539
not,1461
this,1432
have,1416
what,1393
be,1360
for,1336
my,1301
he,1250
are,1193
on,1064
will,1042
do,1016
with,998
was,969
i'm,968
all,923
don't,918
they,849
but,825
it's,822
get,812
me,782
if,719
no,700
can,677
come,671
know,659
it.,640
you.,637
you're,624
his,587
one,539
just,534
out,528
as,521
so,514
from,514
me.,505
there,504
got,478
our,476
about,466
like,466
at,460
he's,445
take,415
has,412
that's,403
him,402
an,399
we're,393
who,392
see,389
think,386
would,383
did,380
where,376
how,373
been,360
go,358
up,358
must,355
were,352
us,345
tell,340
"no,",338
here.,333
need,324
gonna,310
by,298
good,294
them,293
"you,",292
more,291
no.,289
him.,288
or,287
going,287
want,283
why,283
when,281
only,281
had,279
there's,276
"well,",274
i'll,272
never,271
back,266
can't,266
could,265
here,263
find,263
"oh,",250
make,247
now,246
their,242
give,241
these,238
she,235
i've,234
fucking,231
very,228
any,226
some,224
you?,220
right,218
let,218
then,212
her,211
they're,208
"yes,",206
master,202
what?,199
too,199
on.,198
am,195
time,192
us.,192
should,191
what's,191
say,189
into,189
"me,",186
look,185
<font,184
them.,183
this.,182
down,181
than,181
keep,178
right.,178
now.,176
let's,174
that.,174
way,174
