Source,Target,Weight
fargo,reservoir_dogs,6.138735
fargo,the_departed,6.01558
fargo,the_usual_suspects,5.850109
hobbit1,hobbit3,7.494005
hobbit1,lotr2,7.401979
hobbit1,lotr1,7.250685
hobbit3,lotr2,7.615276
hobbit3,hobbit1,7.494005
hobbit3,lotr3,6.942227
lotr1,lotr2,7.579835
lotr1,lotr3,7.446848
lotr1,hobbit1,7.250685
lotr2,lotr3,9.704592
lotr2,hobbit3,7.615276
lotr2,lotr1,7.579835
lotr3,lotr2,9.704592
lotr3,lotr1,7.446848
lotr3,hobbit1,6.943384
pirates1,pirates2,8.259684
pirates1,pirates3,8.057433
pirates1,pirates4,8.057433
pirates2,pirates1,8.259684
pirates2,pirates3,8.185718
pirates2,pirates4,8.185718
pirates3,pirates2,8.185718
pirates3,pirates1,8.057433
pirates4,pirates2,8.185718
pirates4,pirates1,8.057433
reservoir_dogs,the_usual_suspects,8.111418
reservoir_dogs,the_departed,7.872776
reservoir_dogs,se7en,7.023705
rogue_one,sw7,7.19818
rogue_one,sw5,6.739998
rogue_one,sw4,6.664845
se7en,the_usual_suspects,7.534432
se7en,the_departed,7.187574
se7en,reservoir_dogs,7.023705
sw1,sw2,8.746228
sw1,lotr2,6.863654
sw1,sw5,6.853493
sw2,sw1,8.746228
sw2,sw5,7.287408
sw2,sw7,6.903503
sw3,sw2,5.951602
sw3,sw1,5.794213
sw3,sw6,5.27646
sw4,sw5,7.666007
sw4,rogue_one,6.664845
sw4,sw7,6.569612
sw5,sw4,7.666007
sw5,sw2,7.287408
sw5,sw6,7.153076
sw6,sw5,7.153076
sw6,sw2,6.574968
sw6,sw1,6.393739
sw7,rogue_one,7.19818
sw7,sw5,7.138115
sw7,sw2,6.903503
the_departed,the_usual_suspects,8.165665
the_departed,reservoir_dogs,7.872776
the_departed,se7en,7.187574
the_usual_suspects,the_departed,8.165665
the_usual_suspects,reservoir_dogs,8.111418
the_usual_suspects,se7en,7.534432
