Source,Target,Weight
fargo,reservoir_dogs,4.028181
fargo,the_departed,3.93054
fargo,se7en,3.737032
hobbit1,hobbit3,5.303914
hobbit1,lotr2,5.21284
hobbit1,lotr3,5.166517
hobbit3,hobbit1,5.303914
hobbit3,lotr2,5.172851
hobbit3,lotr3,4.895122
lotr1,lotr3,5.32453
lotr1,lotr2,5.051143
lotr1,hobbit1,5.024545
lotr2,lotr3,7.453953
lotr2,hobbit1,5.21284
lotr2,sw1,5.20175
lotr3,lotr2,7.453953
lotr3,lotr1,5.32453
lotr3,pirates3,5.180918
pirates1,pirates2,7.000987
pirates1,pirates3,6.975641
pirates1,pirates4,6.975641
pirates2,pirates1,7.000987
pirates2,pirates3,6.118453
pirates2,pirates4,6.118453
pirates3,pirates1,6.975641
pirates3,pirates2,6.118453
pirates4,pirates1,6.975641
pirates4,pirates2,6.118453
reservoir_dogs,the_usual_suspects,5.614382
reservoir_dogs,the_departed,5.074468
reservoir_dogs,se7en,5.020484
rogue_one,sw7,5.377616
rogue_one,sw1,5.277101
rogue_one,pirates1,5.115561
se7en,the_usual_suspects,5.33937
se7en,reservoir_dogs,5.020484
se7en,the_departed,4.859748
sw1,sw2,6.270379
sw1,sw3,5.452533
sw1,rogue_one,5.277101
sw2,sw1,6.270379
sw2,sw3,5.44689
sw2,pirates3,4.955991
sw3,sw1,5.452533
sw3,sw2,5.44689
sw3,pirates1,4.447943
sw4,sw5,6.088169
sw4,sw1,5.021366
sw4,rogue_one,4.955524
sw5,sw4,6.088169
sw5,sw6,5.185055
sw5,sw7,5.037885
sw6,sw5,5.185055
sw6,sw4,4.869284
sw6,sw2,4.727462
sw7,rogue_one,5.377616
sw7,sw5,5.037885
sw7,sw4,4.926303
the_departed,the_usual_suspects,5.407305
the_departed,reservoir_dogs,5.074468
the_departed,se7en,4.859748
the_usual_suspects,reservoir_dogs,5.614382
the_usual_suspects,the_departed,5.407305
the_usual_suspects,se7en,5.33937
