Source,Target,Weight
fargo,the_departed,3.100477
fargo,reservoir_dogs,2.422041
fargo,sw7,1.94003
hobbit1,hobbit3,4.306465
hobbit1,lotr2,3.227285
hobbit1,rogue_one,2.902859
hobbit3,hobbit1,4.306465
hobbit3,rogue_one,2.802557
hobbit3,lotr2,1.968853
lotr1,lotr2,4.125396
lotr1,lotr3,2.635421
lotr1,hobbit1,2.554239
lotr2,lotr3,4.74827
lotr2,lotr1,4.125396
lotr2,sw2,3.318742
lotr3,lotr2,4.74827
lotr3,sw2,3.320604
lotr3,pirates1,2.667364
pirates1,lotr3,2.667364
pirates1,hobbit1,2.47431
pirates1,lotr2,2.425983
pirates2,sw5,3.080345
pirates2,sw2,3.053221
pirates2,pirates3,2.969051
pirates3,sw2,2.983667
pirates3,pirates2,2.969051
pirates4,sw2,2.983667
pirates4,pirates2,2.969051
reservoir_dogs,the_departed,4.089929
reservoir_dogs,the_usual_suspects,3.025105
reservoir_dogs,fargo,2.422041
rogue_one,sw4,4.439709
rogue_one,sw7,4.108717
rogue_one,sw5,3.734995
se7en,the_departed,4.815935
se7en,the_usual_suspects,3.560556
se7en,sw4,2.610237
sw1,sw2,7.046025
sw1,sw5,4.417839
sw1,sw4,4.250363
sw2,sw1,7.046025
sw2,sw4,4.220371
sw2,sw5,4.132197
sw3,sw2,1.756198
sw3,sw1,1.651809
sw3,rogue_one,1.602035
sw4,sw5,5.71099
sw4,sw7,5.090198
sw4,rogue_one,4.439709
sw5,sw4,5.71099
sw5,sw1,4.417839
sw5,sw2,4.132197
sw6,sw5,3.616362
sw6,sw4,3.577882
sw6,sw1,3.455532
sw7,sw4,5.090198
sw7,rogue_one,4.108717
sw7,sw1,3.853386
the_departed,se7en,4.815935
the_departed,reservoir_dogs,4.089929
the_departed,fargo,3.100477
the_usual_suspects,se7en,3.560556
the_usual_suspects,reservoir_dogs,3.025105
the_usual_suspects,the_departed,2.152357
