Source,Target,Weight
fargo,the_departed,0.433321
fargo,reservoir_dogs,0.388071
fargo,sw7,0.326999
hobbit1,hobbit3,0.834879
hobbit1,lotr2,0.699232
hobbit1,rogue_one,0.574539
hobbit3,hobbit1,0.834879
hobbit3,rogue_one,0.496586
hobbit3,lotr2,0.491063
lotr1,lotr2,1.003646
lotr1,lotr3,0.552451
lotr1,hobbit1,0.487968
lotr2,lotr1,1.003646
lotr2,lotr3,0.797583
lotr2,hobbit1,0.699232
lotr3,lotr2,0.797583
lotr3,lotr1,0.552451
lotr3,rogue_one,0.522517
pirates1,hobbit1,0.496182
pirates1,lotr3,0.484465
pirates1,pirates2,0.481634
pirates2,pirates3,0.611719
pirates2,pirates4,0.611719
pirates2,sw2,0.586885
pirates3,pirates2,0.611719
pirates3,sw4,0.545674
pirates4,pirates2,0.611719
pirates4,sw4,0.545674
reservoir_dogs,the_departed,0.954521
reservoir_dogs,the_usual_suspects,0.78962
reservoir_dogs,fargo,0.388071
rogue_one,sw4,1.031137
rogue_one,sw7,0.838793
rogue_one,sw5,0.807787
se7en,the_departed,1.095822
se7en,the_usual_suspects,0.905431
se7en,sw4,0.611982
sw1,sw2,1.159903
sw1,sw4,0.803745
sw1,sw5,0.800393
sw2,sw1,1.159903
sw2,sw4,0.880186
sw2,sw5,0.826745
sw3,sw2,0.435679
sw3,sw1,0.38812
sw3,rogue_one,0.353406
sw4,sw5,1.185066
sw4,rogue_one,1.031137
sw4,sw7,0.982679
sw5,sw4,1.185066
sw5,sw2,0.826745
sw5,rogue_one,0.807787
sw6,sw4,0.753014
sw6,sw5,0.716327
sw6,sw1,0.645983
sw7,sw4,0.982679
sw7,rogue_one,0.838793
sw7,sw2,0.71746
the_departed,se7en,1.095822
the_departed,reservoir_dogs,0.954521
the_departed,the_usual_suspects,0.554686
the_usual_suspects,se7en,0.905431
the_usual_suspects,reservoir_dogs,0.78962
the_usual_suspects,the_departed,0.554686
