Source,Target,Weight
fargo,the_departed,23.948654
fargo,reservoir_dogs,20.490544
fargo,sw7,14.894695
hobbit1,hobbit3,30.141363
hobbit1,lotr2,22.21087
hobbit1,lotr1,17.687219
hobbit3,hobbit1,30.141363
hobbit3,rogue_one,14.430431
hobbit3,lotr2,13.690566
lotr1,lotr2,28.306159
lotr1,lotr3,20.559633
lotr1,hobbit1,17.687219
lotr2,lotr3,35.878301
lotr2,lotr1,28.306159
lotr2,hobbit1,22.21087
lotr3,lotr2,35.878301
lotr3,lotr1,20.559633
lotr3,pirates3,16.981677
pirates1,pirates2,31.791448
pirates1,pirates3,27.632706
pirates1,pirates4,27.632706
pirates2,pirates1,31.791448
pirates2,pirates3,25.594431
pirates2,pirates4,25.594431
pirates3,pirates1,27.632706
pirates3,pirates2,25.594431
pirates4,pirates1,27.632706
pirates4,pirates2,25.594431
reservoir_dogs,the_departed,30.784386
reservoir_dogs,the_usual_suspects,28.628686
reservoir_dogs,fargo,20.490544
rogue_one,sw4,33.601021
rogue_one,sw7,28.211132
rogue_one,sw5,27.709274
se7en,the_departed,39.494471
se7en,the_usual_suspects,36.722853
se7en,sw4,22.320432
sw1,sw2,43.11274
sw1,sw4,27.215328
sw1,sw5,25.815112
sw2,sw1,43.11274
sw2,sw4,25.581336
sw2,sw5,24.440914
sw3,sw2,15.949218
sw3,sw1,15.173586
sw3,sw6,13.681575
sw4,sw5,47.061038
sw4,rogue_one,33.601021
sw4,sw7,31.129374
sw5,sw4,47.061038
sw5,sw6,28.801014
sw5,rogue_one,27.709274
sw6,sw5,28.801014
sw6,sw4,28.711706
sw6,rogue_one,20.913064
sw7,sw4,31.129374
sw7,rogue_one,28.211132
sw7,sw5,24.478606
the_departed,se7en,39.494471
the_departed,reservoir_dogs,30.784386
the_departed,fargo,23.948654
the_usual_suspects,se7en,36.722853
the_usual_suspects,reservoir_dogs,28.628686
the_usual_suspects,the_departed,22.230126
