Source,Target,Weight
fargo,the_departed,0.581297
fargo,reservoir_dogs,0.572061
fargo,sw7,0.419201
hobbit1,hobbit3,0.935791
hobbit1,lotr2,0.80311
hobbit1,lotr1,0.514483
hobbit3,hobbit1,0.935791
hobbit3,lotr2,0.5224
hobbit3,rogue_one,0.448953
lotr1,lotr2,1.132603
lotr1,lotr3,0.700408
lotr1,hobbit1,0.514483
lotr2,lotr1,1.132603
lotr2,lotr3,1.095743
lotr2,hobbit1,0.80311
lotr3,lotr2,1.095743
lotr3,lotr1,0.700408
lotr3,pirates3,0.525251
pirates1,pirates3,0.939213
pirates1,pirates4,0.939213
pirates1,pirates2,0.886325
pirates2,pirates1,0.886325
pirates2,pirates3,0.872578
pirates2,pirates4,0.872578
pirates3,pirates1,0.939213
pirates3,pirates2,0.872578
pirates4,pirates1,0.939213
pirates4,pirates2,0.872578
reservoir_dogs,the_departed,1.284426
reservoir_dogs,the_usual_suspects,0.988237
reservoir_dogs,se7en,0.581235
rogue_one,sw4,1.303047
rogue_one,sw7,0.930208
rogue_one,sw5,0.898916
se7en,the_departed,1.642959
se7en,the_usual_suspects,1.25613
se7en,sw4,0.817527
sw1,sw2,1.441616
sw1,sw4,0.789381
sw1,rogue_one,0.776409
sw2,sw1,1.441616
sw2,sw4,0.703224
sw2,rogue_one,0.691457
sw3,sw2,0.517418
sw3,sw1,0.483836
sw3,sw6,0.428905
sw4,rogue_one,1.303047
sw4,sw5,1.161112
sw4,sw7,0.892085
sw5,sw4,1.161112
sw5,sw6,1.058185
sw5,rogue_one,0.898916
sw6,sw5,1.058185
sw6,sw4,0.887561
sw6,rogue_one,0.73152
sw7,rogue_one,0.930208
sw7,sw4,0.892085
sw7,sw5,0.840933
the_departed,se7en,1.642959
the_departed,reservoir_dogs,1.284426
the_departed,the_usual_suspects,0.768182
the_usual_suspects,se7en,1.25613
the_usual_suspects,reservoir_dogs,0.988237
the_usual_suspects,the_departed,0.768182
