Source,Target,Weight
fargo,reservoir_dogs,2.450638
fargo,the_departed,2.445239
fargo,se7en,2.343567
hobbit1,hobbit3,2.892088
hobbit1,lotr2,2.806206
hobbit1,lotr1,2.646658
hobbit3,lotr2,2.91552
hobbit3,hobbit1,2.892088
hobbit3,lotr3,2.671725
lotr1,lotr2,2.832853
lotr1,lotr3,2.771757
lotr1,hobbit1,2.646658
lotr2,lotr3,3.440837
lotr2,hobbit3,2.91552
lotr2,lotr1,2.832853
lotr3,lotr2,3.440837
lotr3,lotr1,2.771757
lotr3,hobbit3,2.671725
pirates1,pirates2,3.061578
pirates1,pirates3,2.98585
pirates1,pirates4,2.98585
pirates2,pirates1,3.061578
pirates2,pirates3,2.960261
pirates2,pirates4,2.960261
pirates3,pirates1,2.98585
pirates3,pirates2,2.960261
pirates4,pirates1,2.98585
pirates4,pirates2,2.960261
reservoir_dogs,the_departed,3.089137
reservoir_dogs,the_usual_suspects,3.061952
reservoir_dogs,se7en,2.914832
rogue_one,sw4,2.97901
rogue_one,sw7,2.806293
rogue_one,sw5,2.789517
se7en,the_departed,3.037769
se7en,the_usual_suspects,3.004781
se7en,reservoir_dogs,2.914832
sw1,sw2,3.038645
sw1,sw4,2.731591
sw1,sw5,2.648943
sw2,sw1,3.038645
sw2,sw4,2.841466
sw2,sw5,2.799004
sw3,sw2,2.743484
sw3,sw1,2.514496
sw3,sw5,2.462636
sw4,sw5,3.361763
sw4,rogue_one,2.97901
sw4,sw7,2.884737
sw5,sw4,3.361763
sw5,sw6,2.977254
sw5,sw7,2.853604
sw6,sw5,2.977254
sw6,sw4,2.87524
sw6,sw2,2.583138
sw7,sw4,2.884737
sw7,sw5,2.853604
sw7,rogue_one,2.806293
the_departed,reservoir_dogs,3.089137
the_departed,the_usual_suspects,3.06566
the_departed,se7en,3.037769
the_usual_suspects,the_departed,3.06566
the_usual_suspects,reservoir_dogs,3.061952
the_usual_suspects,se7en,3.004781
