Source,Target,Weight
fargo,reservoir_dogs,2.69274
fargo,the_departed,2.6634
fargo,the_usual_suspects,2.515995
hobbit1,lotr2,3.082643
hobbit1,hobbit3,3.02441
hobbit1,lotr1,2.856294
hobbit3,lotr2,3.254308
hobbit3,hobbit1,3.02441
hobbit3,lotr3,2.946489
lotr1,lotr2,3.099881
lotr1,lotr3,3.003833
lotr1,hobbit1,2.856294
lotr2,lotr3,3.684571
lotr2,hobbit3,3.254308
lotr2,lotr1,3.099881
lotr3,lotr2,3.684571
lotr3,lotr1,3.003833
lotr3,hobbit3,2.946489
pirates1,pirates2,3.29048
pirates1,pirates3,3.261185
pirates1,pirates4,3.261185
pirates2,pirates1,3.29048
pirates2,pirates3,3.117732
pirates2,pirates4,3.117732
pirates3,pirates1,3.261185
pirates3,pirates2,3.117732
pirates4,pirates1,3.261185
pirates4,pirates2,3.117732
reservoir_dogs,the_usual_suspects,3.498828
reservoir_dogs,the_departed,3.438033
reservoir_dogs,se7en,3.087239
rogue_one,sw4,3.265893
rogue_one,sw7,3.163496
rogue_one,sw5,3.049524
se7en,the_usual_suspects,3.322336
se7en,the_departed,3.241113
se7en,reservoir_dogs,3.087239
sw1,sw2,3.283145
sw1,sw4,3.014536
sw1,sw5,2.936685
sw2,sw1,3.283145
sw2,sw5,3.120436
sw2,sw4,3.094739
sw3,sw2,3.056104
sw3,sw1,2.928352
sw3,sw5,2.868255
sw4,sw5,3.598818
sw4,rogue_one,3.265893
sw4,sw7,3.186154
sw5,sw4,3.598818
sw5,sw6,3.190078
sw5,sw7,3.132901
sw6,sw5,3.190078
sw6,sw4,3.153609
sw6,sw2,2.870149
sw7,sw4,3.186154
sw7,rogue_one,3.163496
sw7,sw5,3.132901
the_departed,reservoir_dogs,3.438033
the_departed,the_usual_suspects,3.379726
the_departed,se7en,3.241113
the_usual_suspects,reservoir_dogs,3.498828
the_usual_suspects,the_departed,3.379726
the_usual_suspects,se7en,3.322336
